,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
509,49.976137,19.986048,1,1,2,1
510,50.021526,19.910979,36,0,0,0
511,50.016552,19.972042,0,0,0,0
512,50.019937,19.973088,0,0,0,0
513,49.992622,19.963465,0,0,0,0
514,49.999349,19.919395,0,0,0,0
515,49.995844,19.948023,0,0,0,0
516,50.014557,19.963387,0,0,0,0
517,50.044974,19.974348,0,0,0,0
518,49.988864,19.943477,0,0,0,0
519,50.044988,19.929865,0,0,0,0
520,50.04706,19.959469,0,0,0,0
521,50.013433,19.913214,0,0,0,0
522,50.032293,19.944439,0,0,0,0
523,49.998874,19.87605,0,0,0,0
524,50.050789,19.967013,114,31,58,40
525,50.009899,19.820502,1,1,2,0
526,49.987235,19.902276,8,7,15,10
527,50.0201,20.0274,1,1,3,1
528,50.025118,20.03362,0,0,0,0
529,50.0248,19.8335,0,0,0,0
530,50.0037,20.0266,1,0,0,0
531,50.0066,19.847,2,1,6,1
532,50.0172,19.8624,1,0,0,0
533,50.0127,19.8201,0,0,0,0
534,50.015167,19.961507,2,1,1,1
535,50.000938,19.936993,1,1,1,0
536,50.018511,20.029199,1,1,4,2
537,50.036127,19.991778,1,0,0,0
538,50.028322,19.85341,1,1,3,0
539,50.026679,19.967142,3,0,0,0
540,50.008185,20.044011,1,1,1,0
541,50.02071,19.867513,1,2,5,3
542,50.008629,19.91875,1,1,3,1
543,50.016985,19.895612,0,0,0,0
544,50.016931,19.989206,49,17,32,21
545,50.000672,19.916648,1,1,2,0
546,49.989333,19.90327,8,4,10,6
547,50.014412,19.867202,1,0,0,0
548,50.017917,19.961247,2,1,3,1
549,50.026718,19.852946,1,1,1,0
550,50.012904,19.98568,1,1,4,2
551,50.02404,19.853337,1,1,3,1
552,49.990668,19.971298,1,0,0,0
553,49.980695,19.917349,1,0,0,0
554,49.982586,19.989703,0,0,0,0
555,50.012256,19.879799,2,1,1,0
556,50.02969,19.96974,1,0,0,0
557,50.042708,20.043737,1,0,0,0
558,50.007166,19.847372,1,1,1,1
559,50.040186,20.001254,0,0,0,0
560,49.998584,19.88238,1,1,4,2
561,50.038034,20.002028,0,0,0,0
562,50.029483,20.050224,0,0,0,0
563,50.020874,19.94241,0,0,0,0
564,50.043293,20.009431,0,0,0,0
565,50.012504,19.953766,0,0,0,0
566,50.007423,19.847108,1,1,1,0
567,50.044013,19.973478,0,0,0,0
568,50.044793,19.975906,0,0,0,0
569,50.008407,19.932159,0,0,0,0
570,50.038631,19.94626,0,0,0,0
571,50.002449,20.025853,0,0,0,0
572,50.043731,19.967575,0,0,0,0
573,50.035042,19.934603,0,0,0,0
574,50.01856,20.041495,0,0,0,0
575,50.0158,20.00976,0,0,0,0
576,50.02252,19.981197,0,0,0,0
577,50.013637,19.980724,0,0,0,0
578,50.023723,19.995127,0,0,0,0
579,50.003294,19.991118,0,0,0,0
580,50.018331,19.810257,1,1,4,2
581,50.029728,19.847404,1,1,3,0
582,50.016937,20.0677,1,0,0,0
583,50.007474,19.846692,0,0,0,0
584,50.018496,19.872536,2,0,0,0
585,50.002779,19.942658,2,0,0,0
586,50.0009,19.89,0,0,0,0
587,50.004284,19.893725,0,0,0,0
588,50.004368,19.945567,0,0,0,0
589,50.032102,19.915061,30,10,18,9
590,50.0281,19.9303,0,0,0,0
591,49.999719,19.848112,0,0,0,0
592,50.051174,19.930138,0,0,0,0
593,50.02134,19.92461,0,0,0,0
594,50.004441,19.890313,0,0,0,0
595,50.007431,19.978153,0,0,0,0
596,50.025147,19.850533,1,1,4,2
597,50.0083,19.81081,0,0,0,0
598,50.002156,19.919686,0,0,0,0
599,50.052903,19.928785,0,0,0,0
600,50.022303,19.98803,0,0,0,0
601,50.023972,19.971586,0,0,0,0
602,50.004448,20.054831,0,0,0,0
603,49.997314,19.957281,0,0,0,0
604,49.995399,19.957415,0,0,0,0
605,50.051041,19.923313,0,0,0,0
606,50.002036,19.959969,1,0,0,0
607,50.013207,19.811021,0,0,0,0
608,49.987958,19.861355,0,0,0,0
609,49.9847,19.9526,0,0,0,0
610,49.983745,19.878629,0,0,0,0
611,50.00521,19.928492,0,0,0,0
612,50.016183,19.989569,0,0,0,0
613,50.039027,19.936855,0,0,0,0
614,50.026394,20.050545,27,2,2,1
615,50.044735,19.959896,0,0,0,0
616,50.041943,19.953056,0,0,0,0
617,50.005145,20.011656,0,0,0,0
618,50.026285,19.917559,0,0,0,0
619,50.019239,19.942933,0,0,0,0
620,50.029056,20.014079,0,0,0,0
621,50.012692,20.025478,55,34,86,42
622,50.024161,19.926989,2,0,0,0
623,50.022428,19.903059,0,0,0,0
624,50.025823,19.916355,0,0,0,0
625,50.02002,19.906455,0,0,0,0
626,50.019537,20.033601,0,0,0,0
627,50.01268,19.89377,2,2,7,4
628,50.003262,19.910903,1,1,2,0
629,50.093007,20.055819,0,0,0,0
630,50.065038,20.016225,0,0,0,0
631,50.088826,20.024645,0,0,0,0
632,50.0958,20.0787,0,0,0,0
633,50.0615,20.1984,0,0,0,0
634,50.059245,20.036951,1,0,0,0
635,50.067359,20.010045,0,0,0,0
636,50.103446,20.076134,1,1,4,2
637,50.093852,20.130244,1,1,4,2
638,50.103149,20.07248,1,0,0,0
639,50.080107,20.059377,1,1,3,1
640,50.068938,20.162845,1,1,4,2
641,50.063886,20.005364,0,0,0,0
642,50.055554,20.194899,0,0,0,0
643,50.078926,20.166789,0,0,0,0
644,50.068046,20.052238,0,0,0,0
645,50.07531,20.01545,0,0,0,0
646,50.08574,20.05934,0,0,0,0
647,50.090198,20.024738,0,0,0,0
648,50.060039,20.00131,0,0,0,0
649,50.0903,20.0062,0,0,0,0
650,50.074951,20.036374,0,0,0,0
651,50.073771,20.033884,0,0,0,0
652,50.072958,20.031715,0,0,0,0
653,50.045083,20.102973,0,0,0,0
654,50.106543,20.108139,1,1,3,1
655,50.087728,20.015749,0,0,0,0
656,50.091751,20.134439,0,0,0,0
657,50.068,20.115374,1,0,0,0
658,50.094305,20.025289,1,1,2,0
659,50.103623,19.992438,1,0,0,0
660,50.08049,20.059696,1,0,0,0
661,50.110572,20.176988,0,0,0,0
662,50.084211,20.034097,1,0,0,0
663,50.085279,19.998258,0,0,0,0
664,50.08868,20.014963,0,0,0,0
665,50.088171,20.02721,0,0,0,0
666,50.080976,20.030899,0,0,0,0
667,50.098756,20.073429,0,0,0,0
668,50.076108,20.03617,0,0,0,0
669,50.080382,20.06498,0,0,0,0
670,50.07848,20.0575,0,0,0,0
671,50.083665,20.066889,0,0,0,0
672,50.089287,20.058558,0,0,0,0
673,50.104884,20.066188,1,1,3,1
674,50.092044,19.99365,0,0,0,0
675,50.049901,20.122165,0,0,0,0
676,50.079841,20.002661,0,0,0,0
677,50.060943,20.024664,1,0,0,0
678,50.08682,20.005675,0,0,0,0
679,50.056411,20.199968,0,0,0,0
680,50.087791,20.025265,0,0,0,0
681,50.04814,20.138569,0,0,0,0
682,50.060047,19.968658,0,0,0,0
683,50.059828,19.953009,0,0,0,0
684,50.079727,19.985551,0,0,0,0
685,50.06186,19.931613,0,0,0,0
686,50.0919,19.9642,1,0,0,0
687,50.060274,19.939096,1,0,0,0
688,50.059602,19.94952,9,2,2,1
689,50.050051,19.944096,0,0,0,0
