,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
13165,51.141353,17.135487,1,1,1,0
13166,51.135095,17.086505,0,0,0,0
13167,51.140535,17.049573,1,0,0,0
13168,51.140108,17.049409,1,1,2,1
13169,51.139807,17.049326,1,1,8,3
13170,51.164303,17.13271,1,0,0,0
13171,51.105618,17.149319,0,0,0,0
13172,51.134638,17.088541,1,0,0,0
13173,51.154459,17.072646,0,0,0,0
13174,51.162212,17.03747,1,1,4,2
13175,51.108147,17.05788,1,1,1,0
13176,51.12379,17.028236,34,5,9,6
13177,51.111472,17.085812,0,0,0,0
13178,51.112906,17.056363,0,0,0,0
13179,51.122989,17.049655,0,0,0,0
13180,51.122816,17.053927,0,0,0,0
13181,51.1274,17.0493,0,0,0,0
13182,51.122989,17.075977,0,0,0,0
13183,51.124822,17.075283,0,0,0,0
13184,51.11479,17.027574,0,0,0,0
13185,51.107304,17.093409,0,0,0,0
13186,51.115276,17.066954,0,0,0,0
13187,51.098911,17.115243,0,0,0,0
13188,51.118629,17.05101,0,0,0,0
13189,51.112985,17.056316,0,0,0,0
13190,51.123772,17.052268,0,0,0,0
13191,51.103272,17.09694,0,0,0,0
13192,51.117739,17.08258,4,2,7,1
13193,51.107784,17.091445,5,4,9,3
13194,51.118475,17.075858,0,0,0,0
13195,51.096894,16.944911,1,1,8,1
13196,51.155913,16.890913,1,0,0,0
13197,51.122559,16.835389,1,1,4,1
